EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1176.91011184	200.0	1.60458e-06	1.41998	0.0	0.37564361697	2600
-1094.05454	200.0	3.13006e-06	1.4215	0.407315041109	0.413251615854	5200
-1219.50828571	200.0	2.2556e-06	1.42143	0.331898119277	0.342808660368	7800
-1187.53517287	200.0	6.87652e-06	1.42	0.202601988187	0.25228040969	10400
-1237.38517261	200.0	2.50348e-05	1.41654	0.279333254867	0.301445716682	13000
-1423.65601684	200.0	4.47811e-05	1.41275	0.329962682466	0.351205091743	15600
-1204.38820072	200.0	0.000177543	1.40373	0.495493439255	0.521901426529	18200
-1286.82608496	200.0	0.000399257	1.39821	0.395536392836	0.399099096659	20800
-1174.92344404	200.0	0.000301849	1.39103	0.392534748808	0.414419226649	23400
-1213.58131135	200.0	0.000733489	1.38186	0.492795450425	0.516736876545	26000
-1179.57320532	200.0	0.000302503	1.37481	0.441052064322	0.465222635027	28600
-1204.24883614	200.0	0.00565943	1.37022	0.32840665429	0.345031597882	31200
-1044.35222885	200.0	0.0270188	1.37735	0.128695398311	0.187310180992	33800
-1146.61973201	200.0	0.00302778	1.33678	0.389687148859	0.42312952038	36400
-1397.62039561	200.0	0.00552076	1.25082	0.26943935243	0.285309826793	39000
-1311.60145708	200.0	0.0097477	1.18716	0.155057022667	0.180580460158	41600
-1203.89424091	200.0	0.00595613	1.16718	0.114735177246	0.125212406031	44200
-1347.77125061	200.0	0.000429251	1.1163	0.180427704429	0.197673097548	46800
-1286.82520666	200.0	0.00261424	1.08208	0.378906441111	0.386214402123	49400
-1374.32237839	200.0	0.00778541	0.987396	0.412770702975	0.42092876934	52000
-1183.19298411	200.0	0.00494604	1.01095	0.415708024893	0.425079876122	54600
-1181.27314736	200.0	0.00279133	0.962723	0.452285245283	0.476374410336	57200
-1268.69935867	200.0	0.00266239	0.892483	0.434611034911	0.438256590134	59800
-971.80627399	200.0	0.00402756	1.03166	0.422950821017	0.484506571491	62400
-1036.53660599	200.0	0.00216333	0.942059	0.428138069312	0.464003118541	65000
-1240.283248	200.0	0.00222994	0.807836	0.458900831181	0.461156037091	67600
-1218.75583232	200.0	0.00307453	0.778945	0.404317312974	0.408263658834	70200
-1215.85382685	200.0	0.00460273	0.763009	0.544506340092	0.576240960546	72800
-1232.41119887	200.0	0.00325325	0.68416	0.413419640724	0.470194430176	75400
-1217.17933593	200.0	0.00117303	0.694147	0.475123840746	0.484122038852	78000
-1089.85127871	200.0	0.000750392	0.738685	0.344143725983	0.4146369679	80600
-1284.2851727	200.0	0.00149071	0.579813	0.428557162901	0.453876124216	83200
-1172.47749107	200.0	0.00165638	0.598314	0.300149912013	0.313155989147	85800
-1141.52962614	200.0	0.00214348	0.589201	0.409538827314	0.41848726397	88400
-1129.6153888	200.0	0.00149397	0.614554	0.498597530586	0.548930530033	91000
-1195.27795944	200.0	0.000729754	0.551278	0.399717485876	0.441425862154	93600
-1437.23077386	200.0	0.00302908	0.30806	0.377877727946	0.38559760512	96200
-1157.60695514	200.0	0.00448598	0.492307	0.539388422501	0.586006005252	98800
-1131.10749748	200.0	0.00136597	0.504723	0.416916024402	0.447404043711	101400
-1346.86004033	200.0	0.00264067	0.225954	0.420715019403	0.434159501193	104000
-1274.04127491	200.0	0.00184332	0.299778	0.451653707836	0.477029092004	106600
-1134.40597889	200.0	0.00332604	0.394329	0.503954884833	0.531340469971	109200
-1166.98189648	200.0	0.000127477	0.383297	0.502507115783	0.507413200299	111800
-1217.96226793	200.0	0.00109427	0.307052	0.465317096943	0.471943625915	114400
-1128.40508174	200.0	0.00049281	0.346941	0.47308408866	0.490335254193	117000
-1233.64850603	200.0	0.000975617	0.271644	0.53458667365	0.535351720719	119600
-1326.16414456	200.0	0.0093737	0.0959147	0.395417519275	0.407421252131	122200
-1150.78127106	200.0	0.0195302	0.262302	0.377445031759	0.389490600061	124800
-1199.83679127	200.0	0.0153025	0.242754	0.482432481554	0.486063965271	127400
-1179.38316677	200.0	0.00273737	0.272118	0.491628379361	0.498389468065	130000
-1124.61323305	200.0	0.00275979	0.325824	0.429920091751	0.436002372805	132600
-1363.21501956	200.0	0.00196472	0.134682	0.380998381468	0.408812144653	135200
-1277.4491678	200.0	0.00090621	0.248656	0.423471371048	0.42989397763	137800
-1284.30987203	200.0	0.000388778	0.268219	0.518464690394	0.526627550481	140400
-1320.04764448	200.0	0.00116605	0.20372	0.304633046256	0.347662067868	143000
-1195.81273419	200.0	0.00511084	0.332451	0.445610823533	0.447832961535	145600
-1175.38699651	200.0	0.0030716	0.296163	0.445526224268	0.449372278398	148200
