EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	TimestepsSoFar
-1258.36253555	200.0	1.69863e-06	1.42008	0.0	0.322214189878	2600
-1186.00475368	200.0	4.388e-07	1.42072	0.373775780015	0.399635818635	5200
-1196.69844556	200.0	2.89816e-06	1.4224	0.292464095518	0.316439875639	7800
-1188.51274827	200.0	3.37455e-06	1.42422	0.433861873963	0.467359500392	10400
-1272.66216641	200.0	3.24463e-06	1.42593	0.452047148125	0.461425555425	13000
-1226.98541598	200.0	1.44525e-05	1.42921	0.474312913974	0.481992713533	15600
-1207.89653336	200.0	5.63468e-05	1.43557	0.220348854906	0.266070060301	18200
-1408.96399512	200.0	0.000313514	1.44982	0.264221123587	0.285037273522	20800
-1177.12427256	200.0	0.000301633	1.4534	0.424056542967	0.440264682497	23400
-1348.21064974	200.0	0.000369765	1.45478	0.342123197792	0.355521921798	26000
-1162.76178035	200.0	0.0127524	1.42675	0.380394610804	0.406255849221	28600
-1207.42235869	200.0	0.00936629	1.44055	0.163125094268	0.317960198314	31200
-1026.6517884	200.0	0.0015202	1.45527	0.319282399369	0.368947351988	33800
-1245.04467665	200.0	0.0011331	1.45253	0.381970962805	0.411238227234	36400
-1125.05382242	200.0	0.00165549	1.44301	0.440374492305	0.453837146081	39000
-1143.78037004	200.0	0.00803263	1.42145	0.410433982804	0.434784295202	41600
-1221.65178923	200.0	0.0021112	1.43767	0.410665489975	0.417570454286	44200
-1182.65892343	200.0	0.00259896	1.4543	0.242509479322	0.288540842148	46800
-1187.72017137	200.0	0.00345926	1.49131	0.278363518393	0.282094785332	49400
-1229.1847315	200.0	0.00369506	1.51756	0.335363263822	0.359436600285	52000
-1171.09716985	200.0	0.00324693	1.53939	0.361220016583	0.371518595709	54600
-1269.12852869	200.0	0.0013269	1.53705	0.468210594491	0.493585015561	57200
-1249.60945943	200.0	0.000900151	1.54306	0.264691295074	0.287197543445	59800
-1106.54970576	200.0	0.00106547	1.55157	0.394670206466	0.428988788316	62400
-1030.40265843	200.0	0.000378743	1.5427	0.365434888099	0.375062003915	65000
